	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Fam184b	0	0	0	0	0	0	1.0	0	0	0	0
Fam3c	0	0	0	0	0	1.0	0	1.0	0	0	0
Fam49a	0	-1.0	0	0	0	-1.0	0	0	-1.0	0	0
Fam65b	0	0	0	0	-1.0	-1.0	0	-1.0	-1.0	-1.0	0
Fam69a	0	1.0	0	0	0	1.0	1.0	0	0	0	0
Fancg	0	0	0	0	0	0	1.0	0	0	0	0
Farp1	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Fars2	0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Fas	0	0	-1.0	0	0	0	0	0	0	0	0
Fbxl15	0	0	-1.0	0	0	0	0	0	0	0	0
Fbxl2	0	0	-1.0	0	0	0	0	0	0	0	0
